indicador_default,utilizacion_limite_revolvente,edad_solicitante,frecuencia_mora_30_59d,indice_endeudamiento,ingreso_mensual_bruto,conteo_instrumentos_credito,frecuencia_mora_90d,conteo_hipotecas,frecuencia_mora_60_89d,carga_familiar
0,0.183373647,92,0,0.016899155,20000.0,2,0,0,0,0.0
0,0.030067463,93,0,0.004544628,5500.0,3,0,0,0,0.0
0,0.040792751,91,0,149.0,,8,0,0,0,
0,0.008628078,95,0,4.0,,2,0,0,0,0.0
0,0.0,94,0,0.0,,3,0,0,0,
0,0.057742047,91,1,0.204023331,8400.0,9,0,1,0,1.0
0,0.010203943,93,0,0.00617804,3560.0,7,0,0,0,0.0
0,0.003469246,105,0,2.0,,4,0,0,0,
0,0.034037881,99,0,0.773889848,6372.0,12,0,2,0,0.0
0,0.00159996,93,0,0.000190458,10500.0,10,0,0,0,0.0
0,0.9999999,92,0,0.273111463,3785.0,1,0,1,0,1.0
0,0.001396781,103,0,1798.5,1.0,11,0,2,0,0.0
0,0.0,92,0,0.006174069,5020.0,8,0,0,0,0.0
0,0.9999999,91,0,0.0,,2,0,0,0,0.0
0,0.007343521,91,0,6.0,,7,0,0,0,0.0
0,0.015726932,99,0,0.008841175,9500.0,15,0,0,0,0.0
0,0.001846012,95,0,0.0,,2,0,0,0,
0,0.0,93,0,0.0,,2,0,0,0,0.0
0,0.025317802,93,0,0.003713225,3500.0,4,0,0,0,0.0
0,0.0297956,91,0,26.0,,4,0,0,0,
0,0.019998947,93,0,11.0,,2,0,0,0,
0,0.9999999,91,0,0.00099975,4000.0,4,0,0,0,0.0
0,0.021445494,91,0,20.0,,3,0,0,0,0.0
0,0.053496584,92,0,47.0,,2,0,0,0,0.0
0,0.019549023,93,0,11.0,,1,0,0,0,
0,0.048968724,95,0,0.264610972,2788.0,12,0,1,0,0.0
1,0.770547287,91,5,0.350313152,2394.0,5,1,0,3,0.0
0,0.009469559,91,0,0.008257279,2300.0,4,0,0,0,0.0
0,0.9999999,96,0,0.0,,1,0,0,0,1.0
0,0.275733164,95,0,0.163272862,2700.0,5,0,0,0,0.0
0,0.03779622,92,0,0.010989011,1000.0,3,0,0,0,0.0
0,0.022627278,94,0,0.024122807,455.0,2,0,0,0,0.0
0,0.9999999,0,1,0.436927179,6000.0,6,0,2,0,2.0
0,0.055710668,97,0,25.0,,6,0,0,1,0.0
0,0.0,95,0,0.0,,2,0,0,1,0.0
1,0.063049313,94,1,20809.0,0.0,13,1,0,1,0.0
0,0.007349474,93,0,0.225193702,4000.0,5,0,1,0,0.0
0,0.02005657,95,0,0.002896552,7249.0,2,0,0,0,1.0
0,0.0,91,0,0.0,,4,0,0,0,
0,0.0,94,2,0.0,,7,0,0,0,0.0
0,0.008977332,92,0,88.0,,4,0,0,0,0.0
0,0.016868832,93,0,0.009151414,1201.0,3,0,0,0,0.0
0,0.026804124,91,0,9.0,,6,0,0,0,0.0
0,0.017390961,91,0,0.004642028,5600.0,2,0,0,0,1.0
0,0.0,93,0,0.0,3545.0,1,0,0,0,0.0
0,0.230929762,92,0,318.0,,4,0,0,0,0.0
0,0.11730369,94,0,69.0,,2,0,0,0,
0,0.082867545,93,0,0.028379432,16666.0,3,0,0,0,0.0
0,0.005021953,91,1,0.142492875,20000.0,11,0,2,0,1.0
0,0.012468794,91,0,0.140409717,11031.0,7,0,1,0,0.0
0,0.0,92,0,0.0,,4,0,0,0,0.0
0,0.008036203,92,0,110.0,,8,0,0,0,
0,0.00270471,92,0,4.0,,8,0,0,0,
0,0.02291546,96,0,0.007622812,7083.0,5,0,0,0,0.0
0,0.069337442,91,0,0.306602014,2680.0,7,0,1,0,0.0
0,0.006685523,95,0,7.0,,3,0,0,0,
0,0.005666289,91,0,0.000366166,5461.0,1,0,0,0,0.0
0,0.031021002,91,0,0.010949774,4200.0,10,0,0,0,0.0
0,0.008824835,92,0,159.0,,7,0,1,0,
0,0.002684013,92,0,0.000499917,6000.0,6,0,0,0,0.0
0,0.9999999,92,0,0.0,,1,0,0,0,
0,0.274880788,93,3,0.022480931,2490.0,5,1,0,2,0.0
0,0.022389495,93,0,24.0,,6,0,0,0,0.0
0,0.0,92,0,0.0,3069.0,1,0,0,0,0.0
0,0.008795351,91,0,6.0,,4,0,0,0,
0,0.040965854,96,0,70.0,,5,0,0,0,0.0
0,0.070515945,93,0,0.120293236,3000.0,15,0,0,0,0.0
0,0.0,99,0,0.0,,2,0,0,0,0.0
0,0.01019949,93,0,0.000719942,8333.0,5,0,0,0,0.0
0,0.027382812,93,0,39.0,,6,0,0,0,0.0
0,0.007849608,93,0,60.0,,3,0,0,0,
0,0.785234154,91,0,0.351717113,6871.0,11,0,2,0,0.0
0,0.9999999,95,0,460.0,,1,0,0,0,0.0
0,0.9999999,92,0,0.056833559,6650.0,2,0,0,0,0.0
0,0.132397394,93,1,0.114635504,5390.0,8,0,0,1,1.0
0,0.000785686,91,0,0.0,5700.0,3,0,0,0,0.0
0,0.017832838,95,0,19.0,,4,0,0,0,0.0
0,0.9999999,95,1,0.131434283,2000.0,7,0,0,0,0.0
0,0.117031116,93,0,0.021468041,47232.0,9,0,1,0,0.0
0,0.000364653,95,0,0.0,2500.0,14,0,0,0,0.0
0,0.003799747,91,1,1.0,,3,0,0,0,
0,0.010353868,92,0,28.0,,4,0,0,0,0.0
0,0.036041346,95,0,0.25117096,6831.0,5,0,1,0,0.0
0,0.013146485,91,0,13.0,,6,0,0,0,
0,0.006612548,92,0,3.0,,2,0,0,0,0.0
0,0.9999999,94,0,0.0,,1,0,0,0,0.0
0,0.011971601,91,0,0.17389043,5767.0,16,0,1,0,0.0
0,0.436556312,91,0,0.399428805,2450.0,6,0,1,0,0.0
0,0.039900962,91,0,12.0,,1,0,0,0,0.0
0,0.013991482,99,0,62.0,,7,0,0,0,
0,0.9999999,91,0,0.0,,1,0,0,0,0.0
0,0.002594454,94,0,0.000428449,2333.0,5,0,0,0,0.0
0,0.00551989,93,1,63.0,,6,0,0,0,0.0
0,0.047145508,91,0,0.048664612,7787.0,9,0,0,0,0.0
0,0.0,93,0,0.0,4000.0,4,0,0,0,0.0
1,0.138447892,95,1,583.0,,15,0,1,0,
0,0.9999999,91,0,0.0,,1,0,0,0,0.0
0,0.090242448,91,0,77.0,,4,0,0,0,0.0
0,0.020788976,91,0,0.168062686,3700.0,12,0,0,0,1.0
0,0.022188503,91,0,0.007625028,4458.0,5,0,0,0,0.0
0,0.0,94,0,0.0,,6,0,0,0,
0,0.020211509,92,0,0.443181818,5983.0,3,0,1,0,1.0
0,0.004509389,93,0,7.0,,4,0,0,0,
0,0.013332222,96,0,4.0,,2,0,0,0,0.0
0,0.131474741,95,0,0.222043443,7457.0,7,0,1,0,0.0
0,0.9999999,92,1,0.375929496,3630.0,6,0,0,0,0.0
0,0.0,102,0,0.0,,12,0,0,0,0.0
0,0.0034263,93,0,557.0,,16,0,1,0,
0,0.000641694,91,0,7.0,,4,0,0,0,0.0
0,0.9999999,98,0,0.0,,4,0,0,0,0.0
0,0.003093653,92,0,2.0,,8,0,0,0,0.0
0,0.019400617,93,0,0.00539892,3333.0,4,0,0,0,0.0
0,0.0,91,0,0.078730317,4000.0,7,0,0,0,0.0
0,0.039082983,93,0,0.187101612,2666.0,9,0,0,1,0.0
1,0.162091545,99,1,150.0,,2,0,0,0,
1,0.036928694,93,0,0.003727866,13948.0,15,0,0,0,0.0
0,0.215379452,94,0,0.32745098,4079.0,9,0,1,0,0.0
0,0.036648563,91,0,0.063063063,6104.0,9,0,0,0,0.0
0,0.42119757,91,0,0.149278015,4916.0,3,0,0,0,0.0
0,0.025780444,101,0,0.013797241,1666.0,5,0,0,0,0.0
0,0.0,96,3,1374.0,,5,0,1,0,0.0
0,0.0,91,0,0.0,2175.0,3,0,0,0,0.0
0,0.008892924,95,1,0.003374578,8000.0,10,1,0,0,0.0
0,0.776361791,91,0,0.379810095,2000.0,6,0,0,0,0.0
0,0.9999999,95,0,0.0,,1,0,0,0,0.0
0,0.028130225,93,0,2852.0,,11,0,1,0,0.0
0,0.021142102,93,0,0.41354189,4666.0,8,0,2,0,0.0
0,0.019693696,92,0,1232.0,,12,0,1,0,0.0
0,0.005699715,95,0,3.0,,1,0,0,0,
0,0.00061222,91,0,3.0,,6,0,0,0,
0,0.001999947,92,0,214.0,,9,0,1,0,0.0
0,0.276079253,92,0,0.124918673,4610.0,7,0,0,0,0.0
0,0.029295211,93,0,0.006855184,3500.0,7,0,0,0,0.0
0,0.109641899,102,0,0.273844353,3417.0,7,0,0,0,1.0
0,0.026548673,95,0,15.0,,1,0,0,0,0.0
0,0.029506003,92,0,0.043982407,5001.0,9,0,1,0,0.0
0,0.033664422,94,0,16.0,,5,0,0,0,
0,0.0,93,1,0.0,,7,0,0,0,
0,0.9999999,94,0,2.243512974,500.0,4,0,1,0,0.0
0,0.071873318,91,0,0.00549945,10000.0,6,0,0,0,1.0
0,0.076352576,93,0,0.027941553,3900.0,2,0,0,0,0.0
0,0.9999999,91,0,0.0,2400.0,1,0,0,0,0.0
0,0.008803869,93,0,4.0,,2,0,0,0,
0,0.009464522,97,0,12.0,,6,0,0,0,
0,0.424041172,91,1,1855.0,,6,0,0,0,
0,0.9999999,95,0,0.008301276,4938.0,4,0,0,0,0.0
0,0.004689493,95,0,4.0,,4,0,0,0,0.0
0,0.014507008,91,0,7.0,,1,0,0,0,
0,0.00554495,92,0,0.000529101,1889.0,1,0,0,0,0.0
0,0.190976128,96,0,0.029980013,1500.0,1,0,0,0,0.0
0,0.0,91,0,0.0,,3,0,0,0,0.0
0,0.018280515,91,0,39.0,0.0,7,0,0,0,0.0
0,0.014231887,91,0,38.0,,6,0,0,0,0.0
0,0.035148648,93,0,0.107166338,6083.0,7,0,0,0,0.0
0,0.002062371,91,0,101.0,,4,0,0,0,0.0
0,0.9999999,93,0,0.0,2300.0,1,0,0,0,0.0
0,0.0,94,0,0.0,3000.0,5,0,0,0,0.0
0,0.023184985,91,0,52.0,,9,0,0,0,0.0
0,0.001403386,92,0,4311.0,,7,0,4,0,0.0
0,0.0,91,0,0.0,,3,0,0,0,
0,0.0,95,0,0.0,2369.0,1,0,0,0,0.0
0,0.023982765,94,0,154.0,,10,0,1,0,0.0
1,0.315238751,91,1,0.519949601,16666.0,28,0,0,0,0.0
0,0.075725636,91,0,0.006998834,6000.0,3,0,0,0,0.0
0,0.9999999,93,0,6.0,,1,0,0,0,1.0
0,0.9999999,92,0,67.0,,0,0,0,0,0.0
0,0.020705251,91,0,8.0,,3,0,0,0,0.0
0,0.109307222,109,0,2141.0,,17,0,1,0,
0,0.007599696,94,0,0.000833194,6000.0,3,0,0,0,1.0
0,0.012681471,91,0,0.003163484,8850.0,11,0,0,0,0.0
0,0.0,99,0,0.0,,2,0,0,0,0.0
0,0.002132979,91,0,0.001428435,10500.0,7,0,0,0,0.0
0,0.0,98,0,0.096361455,2500.0,6,0,0,0,0.0
0,0.008054333,93,0,7.0,,6,0,0,0,0.0
0,0.022715816,92,1,2212.0,,10,0,2,0,0.0
0,0.036180722,91,0,0.008887792,8100.0,6,0,1,0,0.0
0,0.004358408,91,0,0.093973151,3500.0,6,0,0,0,0.0
0,0.001582631,97,0,0.001998668,1500.0,15,0,0,1,0.0
0,0.060479499,93,0,0.006470588,6799.0,7,0,0,0,0.0
0,0.117443869,91,0,38.0,,3,0,0,0,
0,0.016515596,97,0,0.008581236,1747.0,2,0,0,0,0.0
0,0.002565378,92,0,0.00059988,5000.0,6,0,0,0,0.0
0,0.005803993,92,0,24.0,,7,0,0,0,
0,0.069372247,92,0,0.039584166,2500.0,3,0,0,0,0.0
0,0.0,91,0,0.0,,3,0,0,0,
0,0.00257781,92,0,0.001332889,3000.0,6,0,0,0,0.0
0,0.024509595,94,1,225.0,,3,2,0,0,
0,0.0,91,0,0.0,,6,0,0,0,0.0
0,0.03186818,91,0,0.004564225,4600.0,3,0,0,0,0.0
0,0.013555713,91,0,0.00435674,3901.0,11,0,0,0,0.0
0,0.000714265,91,1,0.0,4200.0,3,0,0,0,0.0
0,0.004214806,93,0,0.000893769,7831.0,11,0,0,0,0.0
0,0.0,94,0,0.0,,1,0,0,0,
0,0.0,96,0,0.189837685,1416.0,2,0,0,0,0.0
1,0.002964233,101,2,0.001386963,2883.0,6,0,0,0,0.0
0,0.006110432,95,0,0.000267451,3738.0,2,0,0,0,0.0
0,0.0117198,95,0,6.0,,4,0,0,0,0.0
0,0.006007038,94,0,718.0,,11,0,1,0,0.0
0,0.004422883,94,0,9.0,,6,0,0,0,0.0
0,0.0,91,0,0.0,,1,0,0,0,
0,0.9999999,93,0,0.0,,5,0,0,0,0.0
0,0.006194272,94,0,0.001530222,3920.0,4,0,0,0,0.0
0,0.0,97,0,0.0,,2,0,0,0,0.0
0,0.0,93,0,8.0,,2,0,0,0,
0,0.0,94,0,60.0,,5,0,0,0,
0,0.0,92,0,0.0,4851.0,1,0,0,0,1.0
0,0.001249938,95,0,0.0,1666.0,2,0,0,0,0.0
0,0.021691891,94,0,0.854389722,1400.0,7,0,1,0,0.0
0,0.089235225,91,0,0.003166403,12000.0,4,0,0,0,0.0
0,0.0,94,1,0.0,2337.0,4,0,0,0,0.0
0,0.00151997,95,0,0.00039992,5000.0,5,0,0,0,0.0
0,0.002230726,92,0,0.003047329,10500.0,11,0,0,0,0.0
0,0.0,91,0,0.0,,5,0,0,1,0.0
0,0.006609983,91,0,0.001999429,3500.0,1,0,0,0,0.0
0,0.011932316,93,0,0.003749063,4000.0,3,0,0,0,0.0
0,0.001699943,91,0,1.0,,3,0,0,0,
0,0.013023054,92,1,0.049497525,6666.0,7,0,0,0,0.0
0,0.204222631,91,0,268.0,,3,0,0,0,
0,0.322320954,91,0,0.118712902,3200.0,10,0,0,0,0.0
0,0.002133049,93,0,0.0,6000.0,3,0,0,0,0.0
0,0.010977534,92,0,0.00419916,3333.0,10,0,0,0,0.0
0,0.146500714,91,0,0.010052657,2088.0,1,0,0,0,0.0
0,0.046865104,92,0,0.007998546,5500.0,5,0,0,0,1.0
0,0.008683753,96,0,9.0,,4,0,0,0,
0,0.073633199,93,2,114.0,,6,0,0,0,0.0
0,0.9999999,91,0,5.0,,5,0,0,0,0.0
0,0.0,91,0,0.0,,5,0,0,0,0.0
0,0.9999999,92,0,0.0,3065.0,6,0,0,0,0.0
0,0.000449989,91,0,0.000378692,7921.0,7,0,0,0,0.0
0,0.057159446,91,0,0.008831861,6000.0,3,0,0,0,0.0
0,0.9999999,96,0,0.0,,1,0,0,0,
0,0.011234799,94,0,0.001714122,10500.0,14,0,0,0,0.0
0,0.0,96,0,0.0,,2,0,0,0,0.0
0,0.006249645,97,0,0.000912409,3287.0,4,1,0,0,0.0
0,0.9999999,92,0,0.0,,2,0,0,0,0.0
0,0.9999999,92,0,0.39895263,4200.0,2,0,1,0,0.0
0,0.0,91,0,0.0,,4,0,0,0,0.0
0,0.02859857,94,0,17.0,,4,0,0,0,0.0
0,0.125387673,92,4,2925.0,,30,0,2,0,0.0
0,0.007299353,94,0,18.0,,11,0,0,0,0.0
0,0.009487931,94,0,6.0,,6,0,0,0,
0,0.0,93,0,0.0,,2,0,0,0,
0,0.007935416,92,0,4.0,,2,0,0,0,
0,0.000670816,92,0,0.000384468,2600.0,4,0,0,0,0.0
0,0.041320652,91,0,43.0,,5,0,0,0,0.0
0,0.0,93,0,8.0,,4,0,0,0,0.0
0,0.0,96,0,0.0,,2,0,0,0,
0,0.03192602,94,0,0.051948052,1000.0,4,0,0,0,0.0
0,0.08790039,91,0,1112.0,,9,0,1,0,0.0
0,0.654104535,91,0,0.623686055,1426.0,6,0,0,0,0.0
0,0.038730751,93,0,0.005395113,3150.0,3,0,0,0,0.0
1,0.578931421,91,0,0.297576194,4166.0,4,4,0,1,1.0
0,0.0,91,0,0.18907563,1665.0,5,0,1,0,0.0
0,0.0,96,0,0.0,,2,0,0,0,
0,0.012101794,92,0,0.00255959,6250.0,3,0,0,0,0.0
0,0.011649418,91,0,0.001135074,5285.0,4,0,0,0,0.0
0,0.004573775,93,1,15.0,,13,0,0,0,0.0
0,0.0,95,0,0.0,470.0,2,0,0,0,0.0
0,0.0,91,0,0.0,,1,0,0,0,0.0
1,0.0,91,0,18.0,,5,1,0,1,0.0
0,0.9999999,91,0,0.431034483,1101.0,6,0,1,0,0.0
0,0.030525732,92,0,0.013424736,3500.0,10,0,0,1,0.0
